CATEGORIA;CLASSE;TIPOLOGIA DOCUMENTARIA;CONSERVAZIONE
2;5;VERBALI DELLE COMMISSIONI;PERMANENTE
2;7;CONVOCAZIONI DELLA GIUNTA E ODG;1 ANNO
2;7;NOMINE, REVOCHE E DIMISSIONI DEGLI ASSESSORI;PERMANENTE
2;9;FASC. PERSONALE (NOMINA, ETC.) PER LA DURATA DELL’INCARICO;PERMANENTE
3;1;CRITERI GENERALI E NORMATIVA PER IL RECLUTAMENTO DEL PERSONALE: UN FASC. CON EVENTUALI SOTTOFASCICOLI;PERMANENTE
3;1;CURRICULA INVIATI PER RICHIESTE DI ASSUNZIONE;2 ANNI
3;1;DOMANDE DI ASSUNZIONE PERVENUTE SENZA INDIZIONE DI CONCORSO O SELEZIONE;1 ANNO
3;1;PROCEDIMENTI PER IL RECLUTAMENTO DEL PERSONALE: UN FASC. PER CIASCUN PROCEDIMENTO (FASC. PER AFFARE), CON I SEGUENTI SOTTOFASCICOLI: - BANDO E MANIFESTO - ALLEGATI ALLE DOMANDE (OVE PREVISTI DAL BANDO) - -         ALLEGATI ALLE DOMANDE (OVE PREVISTI DAL B;"PERMANENTE
1 ANNO DOPO LA SCADENZA DEI TERMINI PER I RICORSI
DA RESTITUIRE DOPO LA SCADENZA DEI TERMINI PER I RICORSI PERMANENTE
1 ANNO DOPO LA SCADENZA DEI TERMINI PER I RICORSI
1 ANNO DOPO LA SCADENZA DEI
TERMINI PER I RICORSI"
3;11;CRITERI GENERALI E NORMATIVA PER I SERVIZI SU RICHIESTA;PERMANENTE
3;11;DOMANDE DI SERVIZI SU RICHIESTA (MENSA, ASILI NIDO, COLONIE ESTIVE, SOGGIORNI CLIMATICI, ETC.);2 ANNI
3;12;-         150 ORE;2 ANNI
3;12;-         ASPETTATIVA FACOLTATIVA PER MATERNITÀ E PUERPERIO;PERMANENTE
3;12;-         ASPETTATIVA OBBLIGATORIA PER MATERNITÀ E PUERPERIO;PERMANENTE
3;12;-         ASPETTATIVA PER INFERMITÀ;PERMANENTE
3;12;-         ASPETTATIVA PER MANDATO PARLAMENTARE O ALTRE CARICHE ELETTIVE;PERMANENTE
3;12;-         ASPETTATIVA PER MOTIVI DI FAMIGLIA;PERMANENTE
3;12;-         ASPETTATIVA SINDACALE;PERMANENTE
3;12;-         CERTIFICATI MEDICI;ALLA CESSAZIONE DAL SERVIZIO
3;12;-         CONGEDO ORDINARIO;2 ANNI
3;12;-         CONGEDO STRAORDINARIO PER MOTIVI DI SALUTE;2 ANNI
